hand,combos
AA,6
AK,12
AQ,12
AJ,12
AT,12
A9,12
A8,12
A7,12
A6,12
A5,12
A4,12
A3,12
A2,12
AKs,4
KK,6
KQ,12
KJ,12
KT,12
K9,12
K8,12
K7,12
K6,12
K5,12
K4,12
K3,12
K2,12
AQs,4
KQs,4
QQ,6
QJ,12
QT,12
Q9,12
Q8,12
Q7,12
Q6,12
Q5,12
Q4,12
Q3,12
Q2,12
AJs,4
KJs,4
QJs,4
JJ,6
JT,12
J9,12
J8,12
J7,12
J6,12
J5,12
J4,12
J3,12
J2,12
ATs,4
KTs,4
QTs,4
JTs,4
TT,6
T9,12
T8,12
T7,12
T6,12
T5,12
T4,12
T3,12
T2,12
A9s,4
K9s,4
Q9s,4
J9s,4
T9s,4
99,6
98,12
97,12
96,12
95,12
94,12
93,12
92,12
A8s,4
K8s,4
Q8s,4
J8s,4
T8s,4
98s,4
88,6
87,12
86,12
85,12
84,12
83,12
82,12
A7s,4
K7s,4
Q7s,4
J7s,4
T7s,4
97s,4
87s,4
77,6
76,12
75,12
74,12
73,12
72,12
A6s,4
K6s,4
Q6s,4
J6s,4
T6s,4
96s,4
86s,4
76s,4
66,6
65,12
64,12
63,12
62,12
A5s,4
K5s,4
Q5s,4
J5s,4
T5s,4
95s,4
85s,4
75s,4
65s,4
55,6
54,12
53,12
52,12
A4s,4
K4s,4
Q4s,4
J4s,4
T4s,4
94s,4
84s,4
74s,4
64s,4
54s,4
44,6
43,12
42,12
A3s,4
K3s,4
Q3s,4
J3s,4
T3s,4
93s,4
83s,4
73s,4
63s,4
53s,4
43s,4
33,6
32,12
A2s,4
K2s,4
Q2s,4
J2s,4
T2s,4
92s,4
82s,4
72s,4
62s,4
52s,4
42s,4
32s,4
22,6
