hand,x01,x03,x06,x10,x15,x21,x28,x02,x04,x05,x07,x08,x09,x11,x12,x13,x14,x16,x17,x18,x19,x20,x22,x23,x24,x25,x26,x27,x29,x30,x31,x32,x33,x34,x35,x36
AA,6.4,6.3,6.2,6.2,6.1,5.6,5.2,6.5,6.7,6.6,6.7,6.6,6.6,6.8,6.8,6.8,6.8,7.2,7.2,7.2,7.2,7.1,9.0,9.0,9.1,9.4,9.4,9.6,10.1,10.1,10.1,10.2,10.6,10.4,9.8,3.9
AK,5.9,5.9,6.3,6.5,6.9,7.5,5.6,5.1,5.3,5.4,5.6,5.7,6.0,5.8,5.9,6.1,6.6,5.6,5.9,6.2,6.9,7.1,7.3,7.8,8.3,9.2,9.4,9.6,6.2,7.4,9.0,10.0,10.6,10.4,9.8,4.2
AQ,3.4,3.8,4.6,5.6,6.0,6.1,5.6,3.9,4.1,4.9,4.2,5.1,5.6,3.8,4.7,5.2,5.3,3.8,3.8,4.4,4.7,5.3,4.7,5.3,6.2,7.3,8.3,8.3,2.6,3.2,4.1,4.8,6.9,9.8,8.2,4.0
AJ,2.1,2.4,2.7,3.4,4.4,5.8,5.9,1.2,2.2,2.8,2.5,3.2,4.2,3.3,3.3,4.3,5.7,3.1,2.9,3.4,4.8,5.3,2.4,2.4,3.6,5.6,8.5,9.0,2.9,2.5,2.4,3.4,4.5,6.6,5.6,3.3
AT,0.9,1.7,2.2,2.4,3.3,4.3,5.6,0.0,0.0,0.2,0.3,0.6,1.6,1.2,1.9,3.0,4.0,2.8,3.4,3.8,3.9,4.8,1.0,2.6,3.3,2.7,3.2,8.7,4.2,4.5,3.6,2.3,2.4,4.3,4.0,2.6
A9,0.0,0.4,0.7,1.8,2.2,3.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.8,2.7,3.8,0.0,0.0,0.0,1.7,2.5,3.6,1.4,1.7,2.6,3.4,2.8,2.9,3.6,1.9
A8,0.0,0.0,0.2,0.9,2.2,2.4,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,2.2,0.0,0.0,0.0,0.0,0.9,3.2,1.8,2.2,2.3,3.0,4.6,3.3,3.3,1.3
A7,0.0,0.0,0.0,0.2,1.5,2.3,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,1.8,1.6,2.3,3.4,2.8,5.0,3.9,0.8
A6,0.0,0.0,0.0,0.0,0.6,2.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,1.2,1.5,2.3,2.6,3.8,6.5,0.8
A5,0.0,0.0,0.0,0.5,1.8,2.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.9,0.0,0.0,0.0,0.1,0.7,2.2,3.4,3.3,3.3,3.5,4.9,5.3,3.6,0.5
A4,0.0,0.0,0.0,0.0,0.3,2.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.1,2.7,2.7,3.7,2.7,3.8,4.4,0.7
A3,0.0,0.0,0.0,0.0,0.0,2.1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.7,2.1,3.4,3.5,3.1,6.2,1.0
A2,0.0,0.0,0.0,0.0,0.0,1.3,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.9,2.3,3.2,3.4,9.4,1.8
AKs,6.5,6.5,6.5,6.6,6.7,7.5,5.5,6.5,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.8,6.8,7.2,7.2,7.2,7.2,7.2,9.0,9.0,9.1,9.4,9.4,9.6,10.1,10.1,10.1,10.2,10.6,10.4,9.8,3.6
KK,6.5,6.4,6.3,6.3,6.3,6.1,5.6,5.9,6.2,6.4,6.7,6.7,6.7,6.8,6.8,6.8,6.8,7.1,7.2,7.2,7.2,7.2,9.0,9.0,9.1,9.4,9.4,9.6,10.1,10.1,10.1,10.2,10.6,10.4,9.8,3.8
KQ,2.2,2.3,2.8,3.5,3.8,5.6,5.8,2.2,3.2,3.6,3.6,4.3,5.9,4.0,4.7,5.6,5.7,3.8,4.0,4.8,5.0,4.8,2.5,2.7,4.9,6.7,8.2,9.0,3.0,3.3,3.7,3.9,5.1,5.2,4.4,3.0
KJ,1.1,1.6,2.0,2.3,3.6,3.7,5.6,0.1,0.4,0.3,0.3,0.5,1.2,0.8,1.2,2.5,3.6,1.9,2.7,3.1,3.4,5.4,1.6,2.5,3.0,2.2,5.9,8.7,2.7,3.0,3.4,3.3,4.2,5.2,3.4,1.5
KT,0.1,0.6,1.3,1.9,2.3,3.4,4.9,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.1,0.4,0.1,0.2,1.0,2.7,3.1,0.0,0.0,0.3,2.0,2.5,4.4,2.2,2.4,3.2,3.4,3.8,4.4,3.5,0.6
K9,0.0,0.0,0.0,0.2,1.6,2.3,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.4,1.5,1.8,2.3,2.9,4.6,4.4,1.3
K8,0.0,0.0,0.0,0.0,0.0,2.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.4,1.4,1.5,1.6,2.1,3.3,1.2
K7,0.0,0.0,0.0,0.0,0.0,1.7,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,1.6,1.4,1.4,3.1,4.8,1.2
K6,0.0,0.0,0.0,0.0,0.0,1.2,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.6,2.2,2.1,2.4,3.0,5.3,1.1
K5,0.0,0.0,0.0,0.0,0.0,0.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,1.0,1.6,2.0,2.4,4.6,0.7
K4,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1,1.2,1.8,2.4,2.5,1.0
K3,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.6,1.4,1.9,1.7,1.4
K2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.4,1.7,1.8,1.6
AQs,4.0,4.2,4.2,4.2,4.6,6.0,5.5,4.2,3.7,4.0,3.9,4.4,4.2,4.1,4.5,4.3,5.5,2.9,3.7,4.3,6.1,6.2,4.5,6.0,8.6,9.4,8.3,9.6,2.7,2.4,4.1,7.6,10.6,10.4,9.8,3.9
