RECORD_NO,GAME,OPEN,OPEN_SIZE_ABS,3BET,3BET_SIZE_ABS,4BET,4BET_RANGE,4BET_SIZE_ABS
1,CASH 100bb,UTG,2.0,UTG+1,6.5,LJ,0.029,14.0
2,CASH 100bb,UTG,2.0,UTG+1,6.5,HJ,0.029,14.0
3,CASH 100bb,UTG,2.0,UTG+1,6.5,CO,0.028,14.0
4,CASH 100bb,UTG,2.0,UTG+1,6.5,BTN,0.027,14.0
5,CASH 100bb,UTG,2.0,UTG+1,6.5,SB,0.025,20.0
6,CASH 100bb,UTG,2.0,UTG+1,6.5,BB,0.026,19.0
7,CASH 100bb,UTG,2.0,LJ,6.5,HJ,0.029,14.0
8,CASH 100bb,UTG,2.0,LJ,6.5,CO,0.029,14.0
9,CASH 100bb,UTG,2.0,LJ,6.5,BTN,0.027,14.0
10,CASH 100bb,UTG,2.0,LJ,6.5,SB,0.025,20.0
11,CASH 100bb,UTG,2.0,LJ,6.5,BB,0.026,19.0
12,CASH 100bb,UTG,2.0,HJ,6.5,CO,0.029,14.0
13,CASH 100bb,UTG,2.0,HJ,6.5,BTN,0.028,14.0
14,CASH 100bb,UTG,2.0,HJ,6.5,SB,0.025,20.0
15,CASH 100bb,UTG,2.0,HJ,6.5,BB,0.026,19.0
16,CASH 100bb,UTG,2.0,CO,6.5,BTN,0.029,13.0
17,CASH 100bb,UTG,2.0,CO,6.5,SB,0.026,18.0
18,CASH 100bb,UTG,2.0,CO,6.5,BB,0.026,18.0
19,CASH 100bb,UTG,2.0,BTN,7.5,SB,0.025,20.0
20,CASH 100bb,UTG,2.0,BTN,7.5,BB,0.025,20.0
21,CASH 100bb,UTG,2.0,SB,10.0,BB,0.023,20.0
22,CASH 100bb,UTG+1,2.0,LJ,6.5,HJ,0.029,14.0
23,CASH 100bb,UTG+1,2.0,LJ,6.5,CO,0.029,14.0
24,CASH 100bb,UTG+1,2.0,LJ,6.5,BTN,0.029,14.0
25,CASH 100bb,UTG+1,2.0,LJ,6.5,SB,0.026,20.0
26,CASH 100bb,UTG+1,2.0,LJ,6.5,BB,0.027,19.0
27,CASH 100bb,UTG+1,2.0,HJ,6.5,CO,0.030,14.0
28,CASH 100bb,UTG+1,2.0,HJ,6.5,BTN,0.031,14.0
29,CASH 100bb,UTG+1,2.0,HJ,6.5,SB,0.026,20.0
30,CASH 100bb,UTG+1,2.0,HJ,6.5,BB,0.027,19.0
31,CASH 100bb,UTG+1,2.0,CO,6.5,BTN,0.034,13.0
32,CASH 100bb,UTG+1,2.0,CO,6.5,SB,0.027,18.0
33,CASH 100bb,UTG+1,2.0,CO,6.5,BB,0.029,18.0
34,CASH 100bb,UTG+1,2.0,BTN,7.5,SB,0.025,20.0
35,CASH 100bb,UTG+1,2.0,BTN,7.5,BB,0.026,20.0
36,CASH 100bb,UTG+1,2.0,SB,10.0,BB,0.024,20.0
37,CASH 100bb,LJ,2.0,HJ,6.5,CO,0.035,14.0
38,CASH 100bb,LJ,2.0,HJ,6.5,BTN,0.036,14.0
39,CASH 100bb,LJ,2.0,HJ,6.5,SB,0.031,20.0
40,CASH 100bb,LJ,2.0,HJ,6.5,BB,0.032,19.0
41,CASH 100bb,LJ,2.0,CO,6.5,BTN,0.038,13.0
42,CASH 100bb,LJ,2.0,CO,6.5,SB,0.032,18.0
43,CASH 100bb,LJ,2.0,CO,6.5,BB,0.034,18.0
44,CASH 100bb,LJ,2.0,BTN,7.5,SB,0.030,20.0
45,CASH 100bb,LJ,2.0,BTN,7.5,BB,0.032,20.0
46,CASH 100bb,LJ,2.0,SB,10.0,BB,0.027,20.0
47,CASH 100bb,HJ,2.0,CO,6.5,BTN,0.047,13.1
48,CASH 100bb,HJ,2.0,CO,6.5,SB,0.038,17.5
49,CASH 100bb,HJ,2.0,CO,6.5,BB,0.041,17.5
50,CASH 100bb,HJ,2.0,BTN,7.5,SB,0.037,21.0
51,CASH 100bb,HJ,2.0,BTN,7.5,BB,0.039,21.0
52,CASH 100bb,HJ,2.0,SB,11.0,BB,0.035,23.0
53,CASH 100bb,CO,2.3,BTN,7.5,SB,0.051,21.0
54,CASH 100bb,CO,2.3,BTN,7.5,BB,0.056,20.0
